TextID_D,Date_D,Ruler,Year,Month,Day,Dossier_D,Archive_D,Genre_D,Locus_D,Stratum_D,ExcNum_C,MusAcc_C,Mus_C,TNum,Pnum,TextID_A,TextID_C,TextNum_A,ARCHIBAB Link,CDLI Link
UR 1187,1882,-,-,-, -,Giparu (expenditures),ADDED TO 1!,Administrative,,,U -,"1953-04-11, 0219",BM 131384,T12736,P415551,"BM 131384 = 1953-04-11, 219",UET 5 679,UET 5 679,https://www.archibab.fr/texte/12736,https://cdli.earth/artifacts/415551
UR 3409,1881,Sumu-El,14,10,-,Ipqu-Sin,Ipqu-Sin,Administrative,,,-,-,BdI A 07,-,P382157,A 07,"TCBI 2/3, 24",-,,https://cdli.earth/artifacts/382157
UR 709,1880,Sumu-El,15,3, -,Aha-nirshi ,Ur (unprov),Legal - Proceedings,,,-,-,IM 057270,T13029,P415088,IM 57270,UET 5 198,UET 5 198,https://www.archibab.fr/texte/13029,https://cdli.earth/artifacts/415088
UR 1256,1880,Sumu-El,15,4, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,-,-,IM 057552,T12804,P415618,IM 57552,UET 5 748,UET 5 748,https://www.archibab.fr/texte/12804,https://cdli.earth/artifacts/415618
UR 697,1880,Sumu-El,15,6, -,Legal (slave sale),Ur (unprov),Legal - Sale (Slave),,,U -,-,UM 52-30-104,T13018,P415077,UM 52-30-104,UET 5 186,UET 5 186,https://www.archibab.fr/texte/13018,https://cdli.earth/artifacts/415077
UR 183,1879,Sumu-El,16,-,-,Administrative (satukku),Ur (unprov),Administrative - Donation,,,U 31591,-,BM -,T22435,P381915,U.31591,"Nisaba 12 /2, 06",Nisaba 12 II 6,https://www.archibab.fr/texte/22435,https://cdli.earth/artifacts/381915
UR 1131,1879,Sumu-El,16,2, -,"Ganunmah (deliveries, dairy)",Ur's Ganunmah (TTB),Administrative - Delivery,Room 22,26,U 00737,-,IM 057486,T12682,P415495,IM 57486 = U.737,UET 5 623,UET 5 623,https://www.archibab.fr/texte/12682,https://cdli.earth/artifacts/415495
UR 56,1879,Sumu-El,16,8, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,Room C26,H-J 2-3,-,-,-,T22730,N/A,IM 57604 = U.6393,-,Figulla Iraq 15 16,https://www.archibab.fr/texte/22730,
UR 1132,1878,Sumu-El,17,12, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Allotment,Room 5,Underneath pavement,U 08811a,"1953-04-11, 0205",BM 131370,T12683,P415496,"BM 131370 = 1953-04-11, 205 = U.8811A // ",UET 5 624,UET 5 624,https://www.archibab.fr/texte/12683,https://cdli.earth/artifacts/415496
UR 256,1878,Sumu-El,17,4, -,Legal (loan),Ur (unprov),Legal - Loan (Silver),,,U -,-,IM 090433,T22525,P381988,IM 90433,"Nisaba 12 /5, 01",Nisaba 12 V 1,https://www.archibab.fr/texte/22525,https://cdli.earth/artifacts/381988
UR 62,1878,Sumu-El,17,6, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,Room C26,H-J 2-3,U 06395,-,BM -,T22731,P468111,U.6395,UET 1 247,Figulla Iraq 15 44,https://www.archibab.fr/texte/22731,https://cdli.earth/artifacts/468111
UR 3407,1878,Sumu-El,17,7,-,Ipqu-Sin,Ipqu-Sin,Administrative,,,-,-,BdI A 24,-,P382155,A 24,"TCBI 2/3, 22",-,,https://cdli.earth/artifacts/382155
UR 30,1878,Sumu-El,17,8, -,Ganunmah (expenditure),Ur (unprov),Administrative - Delivery,,,U 04309,-,-,T24987,P468014,U.4309,-,Inedit,https://www.archibab.fr/texte/24987,https://cdli.earth/artifacts/468014
UR 1269,1877,Sumu-El,18,5, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,-,-,IM 057565,T12813,P415631,IM 57565,UET 5 761,UET 5 761,https://www.archibab.fr/texte/12813,https://cdli.earth/artifacts/415631
UR 142,1877,Sumu-El,18,7, -,Giparu (arua),Ur (unprov),Administrative - arua,,,U 31530,-,BM -,T22391,P381874,U.31530,"Nisaba 12 /1, 03",Nisaba 12 I 3,https://www.archibab.fr/texte/22391,https://cdli.earth/artifacts/381874
UR 1121,1876,Sumu-la-El,5,-, -,Administrative (animal record),Ur (unprov),Administrative - animal record,,,-,-,IM 057479,T12672,P415485,IM 57479,UET 5 613,UET 5 613,https://www.archibab.fr/texte/12672,https://cdli.earth/artifacts/415485
NIPPUR 8268,1875,Lipit-Enlil,1,4,20,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0109,-,NBC 11207,-,P301812,-,BiMes 11 no. 003,-,,https://cdli.earth/artifacts/301812
NIPPUR 8247,1875,Lipit-Enlil,1,5,-,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,4N-T0115,-,NBC 11173,-,P301782,-,BiMes 11 no. 129,-,,https://cdli.earth/artifacts/301782
NIPPUR 8248,1875,Lipit-Enlil,1,5,-,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,4N-T0081,-,NBC 11174,-,P301783,-,BiMes 11 no. 002,-,,https://cdli.earth/artifacts/301783
UR 143,1874,Sumu-El,21,10, -,Giparu (Ningal Tithe),Ur (unprov),Administrative - Pay List,,,U 31391,-,BM -,T22392,P381875,U.31391,"Nisaba 12 /1, 04",Nisaba 12 I 4,https://www.archibab.fr/texte/22392,https://cdli.earth/artifacts/381875
NIPPUR 529,1874,Lipit-Enlil,A,-,-,TA - House N 1: Kiagga,Nippur's Tablet Hill (TA),Legal - Sale (Land),174,XI-2,3N-T0874,-,IM 058784,-,P224351,-,SAOC 44 36,-,,https://cdli.earth/artifacts/224351
NIPPUR 236,1873,Sumu-El,22,10, -,TB - House C?: Lu-Ursaggal?,Nippur (Hilprecht),"Legal - Sale (House, Land)",,,-,-,HS 2390,T23364,P512573,HS 2390,TMH 10 26,TMH 10 26,https://www.archibab.fr/texte/23364,https://cdli.earth/artifacts/512573
NIPPUR 8185,1873,Lipit-Enlil,B,4,-,TB?,Nippur (Post-Penn),Legal - Sale (Land),,,-,-,NBC 05577,-,P293000,-,BIN 07 60,-,,https://cdli.earth/artifacts/293000
NIPPUR 8186,1873,Lipit-Enlil,B,4,10,TB? ,Nippur (Post-Penn),Legal - Sale (Land),,,-,-,NBC 05580,-,P293001,-,BIN 07 59,-,,https://cdli.earth/artifacts/293001
NIPPUR 170,1873,Lipit-Enlil,B,6, -,TB - mannum-meshu-lissur,"Nippur (OECT 8, Awiliya Dossier)",Legal - Adoption,,,-,-,Ashm 1926-0391,T25331,P283648,W.1926/391,OECT 08 20,OECT 8 20,https://www.archibab.fr/texte/25331,https://cdli.earth/artifacts/283648
NIPPUR 8324,1872,Sumu-el,23,-,-,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0324,-,NBC 11263,-,P301868,-,BiMes 11 no. 046,-,,https://cdli.earth/artifacts/301868
UR 1293,1872,Sumu-El,23,-, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,U -,"1953-04-11, 0244",BM 131409,T12832,P415655,"BM 131409 = 1953-04-11, 244",UET 5 785,UET 5 785,https://www.archibab.fr/texte/12832,https://cdli.earth/artifacts/415655
UR 936,1872,Sumu-El,23,-,-,Aha-nirshi ,Ur (unprov),Legal - Loan (Silver),,,U -,"1953-04-11, 0160",BM 131325,T12309,P415305,"BM 131325 = 1953-04-11, 160",UET 5 427,UET 5 427,https://www.archibab.fr/texte/12309,https://cdli.earth/artifacts/415305
UR 1270,1872,Sumu-El,23,2, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,U -,-,UM 52-30-243,T12814,P415632,UM 52-30-243,UET 5 762,UET 5 762,https://www.archibab.fr/texte/12814,https://cdli.earth/artifacts/415632
UR 1271,1872,Sumu-El,23,6, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Donation,C/26,H-J 2-3,U -,-,UM 52-30-244,T22732,P415633,UM 52-30-244,UET 5 763,UET 5 763,https://www.archibab.fr/texte/22732,https://cdli.earth/artifacts/415633
UR 3399,1872,Sumu-El,23,7,-,Ipqu-Sin,Ipqu-Sin,Legal - Sale (Land),,,-,-,BdI A 08,-,P382146,A 08,"TCBI 2/3, 14",-,,https://cdli.earth/artifacts/382146
NIPPUR 8356,1872,Lipit-Enlil,C,12,-,TB - House C?: Lu-Ursaggal?,Nippur (Post-Penn),Legal - Sale (Land),,,-,-,YBC 15991,-,P312782,-,-,-,,https://cdli.earth/artifacts/312782
UR 1145,1871,Sumu-El,24,-, -,"Ganunmah (deliveries, silver)",Ur (unprov),Administrative - wool accounts,,,U -,"1953-04-11, 0207",BM 131372,T12695,P415509,"BM 131372 = 1953-04-11, 207",UET 5 637,UET 5 637,https://www.archibab.fr/texte/12695,https://cdli.earth/artifacts/415509
NIPPUR 8325,1871,Sumu-el,24,-,05,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0332,-,NBC 11264,-,P301869,-,BiMes 11 no. 012,-,,https://cdli.earth/artifacts/301869
NIPPUR 11130,1871,Sumu-el,24,-,09,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0330,-,IM -,-,P500731,-,BiMes 11 no. 013,-,,https://cdli.earth/artifacts/500731
UR 614,1871,Sumu-El,24,12, -,legal (inheritance),Ur (unprov),"Legal - Inheritance, Land",,,-,-,IM 057226,T12127,P415006,IM 57226,UET 5 104,UET 5 104,https://www.archibab.fr/texte/12127,https://cdli.earth/artifacts/415006
UR 883,1871,Sumu-El,24,12, -,City Wall: Legal (loan),Ur's City Wall (CLW),Legal - Loan (Silver),,,U 13074,-,IM 057357,T12380,P415254,IM 57357 = U.13074,UET 5 374,UET 5 374,https://www.archibab.fr/texte/12380,https://cdli.earth/artifacts/415254
NIPPUR 541,1871,Sumu-el,24,3,-,TB - House B,Nippur's Scribal Quarter (TB),Legal - Land Rental,17,II-1,2N-T0044,-,IM 057829,-,P224366,-,SAOC 44 66,-,,https://cdli.earth/artifacts/224366
NIPPUR 8330,1871,Sumu-el,24,5,28,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0359,-,NBC 11269,-,P301874,-,BiMes 11 no. 015,-,,https://cdli.earth/artifacts/301874
UR 166,1871,Sumu-El,24,8,-,Ganunmah (silver),Ur (unprov),Administrative - Pay List,,,U 31394,-,BM -,T22414,P381898,U.31394,"Nisaba 12 /1, 27",Nisaba 12 I 27,https://www.archibab.fr/texte/22414,https://cdli.earth/artifacts/381898
NIPPUR 8360,1871,Lipit-Enlil,D,7,-,TA - House F?: Nanna-Mansum,Nippur (Penn excavations),Legal - Sale (Land),,,-,-,Ist Ni 01372,-,P313128,-,ARN 005,-,,https://cdli.earth/artifacts/313128
NIPPUR 150,1871,Lipit-Enlil,5,9,2,"E-shumesha (Expenditures, eshtagurra)","Nippur's Ninurta Temple, Eshumesha",Administrative - Eshtagurra,,,5N-T0418,-,NBC 11285,T9251,P301890,NBC 11285 = 5NT-418+NBC 11205,RA 071 117-124,"NBC 11285 (Sigrist RA 71, p. 117 (tablette) et 124 (sceau)",https://www.archibab.fr/texte/9251,https://cdli.earth/artifacts/301890
NIPPUR 11132,1870,Sumu-el,25,-,04,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0334,-,IM -,-,P500733,-,BiMes 11 no. 040,-,,https://cdli.earth/artifacts/500733
UR 1272,1870,Sumu-El,25,11, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,U -,-,UM 52-30-245,T12815,P415634,UM 52-30-245,UET 5 764,UET 5 764,https://www.archibab.fr/texte/12815,https://cdli.earth/artifacts/415634
NIPPUR 11136,1870,Sumu-el,25,2,-,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0350,-,OIM A30710,-,P500737,-,BiMes 11 no. 033,-,,https://cdli.earth/artifacts/500737
NIPPUR 11131,1870,Sumu-el,25,2,02,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0331,-,IM -,-,P500732,-,BiMes 11 no. 029,-,,https://cdli.earth/artifacts/500732
NIPPUR 11134,1870,Sumu-el,25,2,23,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0336,-,OIM A30705,-,P500735,-,BiMes 11 no. 030,-,,https://cdli.earth/artifacts/500735
NIPPUR 8343,1870,Sumu-el,25,2,23,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0403,-,NBC 11282,-,P301887,-,BiMes 11 no. 034,-,,https://cdli.earth/artifacts/301887
NIPPUR 11135,1870,Sumu-el,25,5,-,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0349,-,OIM A30709,-,P500736,-,BiMes 11 no. 032,-,,https://cdli.earth/artifacts/500736
UR 3408,1870,Sumu-el,25,6,-,Ipqu-Sin,Ipqu-Sin,Legal - Ilkum Service,,,-,-,BdI A 12,-,P382156,A 12,"TCBI 2/3, 23",-,,https://cdli.earth/artifacts/382156
NIPPUR 8221,1870,Sumu-el,25,6,16,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,4N-T0227,-,NBC 11147,-,P301756,-,BiMes 11 no. 031,-,,https://cdli.earth/artifacts/301756
NIPPUR 5614,1870,Erra-imitti,A,5,-,TB? ,Nippur (PBS 8),Legal - Inheritance,,,-,-,CBS 11180,-,P266341,-,"PBS 08 /1, 020",-,,https://cdli.earth/artifacts/266341
UR 1273,1869,Sumu-El,26,8, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,U -,-,UM 52-30-246,T12816,P415635,UM 52-30-246,UET 5 765,UET 5 765,https://www.archibab.fr/texte/12816,https://cdli.earth/artifacts/415635
NIPPUR 4557,1869,Erra-imitti,B,4,-,TB - House C?: Lu-Ursaggal,Nippur (PBS 8),Legal - Inheritance,,,-,-,CBS 04941,-,P261134,-,"PBS 08 /1, 019",-,,https://cdli.earth/artifacts/261134
NIPPUR 11133,1868,Sumu-el,27,1,-,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0360,-,IM -,-,P500734,-,BiMes 11 no. 044,-,,https://cdli.earth/artifacts/500734
UR 1274,1868,Sumu-El,27,1, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,U -,-,UM 52-30-247,T12817,P415636,UM 52-30-247,UET 5 766,UET 5 766,https://www.archibab.fr/texte/12817,https://cdli.earth/artifacts/415636
NIPPUR 3822,1868,Sumu-el,27,2,-,TA - House F?: Nanna-Mansum,Nippur (Penn excavations),Legal - Loan (Silver),,,-,-,UM 29-15-411,-,P256212,-,"OB Contracts, pl. A2 no. 2",-,,https://cdli.earth/artifacts/256212
UR 1275,1868,Sumu-El,27,6, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,U -,-,UM 52-30-248,T22733,P415637,UM 52-30-248,UET 5 767,UET 5 767,https://www.archibab.fr/texte/22733,https://cdli.earth/artifacts/415637
UR 683,1868,Sumu-El,27,9, -,Church Lane 1: legal (land sale),"Ur's Neighborhood (AH), Church Lane 1",Legal - Sale (Land),,,U 16566,-,IM 057260,T12143,P415065,IM 57260 = U.16566,UET 5 172,UET 5 172,https://www.archibab.fr/texte/12143,https://cdli.earth/artifacts/415065
UR 970,1867,Sumu-El,28,10, -,Mausoleum: Legal (loan),Ur's Mausoleum (BC),Legal - Loan (silver),,House 30/C,U 16512,-,IM 057398,T12527,P415337,IM 57398 = U.16512,UET 5 461,UET 5 461,https://www.archibab.fr/texte/12527,https://cdli.earth/artifacts/415337
NIPPUR 4321,1867,Sumu-El,28,4,-,TA - House K?: Ninlil-Zimu (Abba-Kalla),Nippur (PBS 8),Legal - Inheritance,,,-,-,CBS 01530,-,P258864,-,"PBS 08 /2, 169",-,,https://cdli.earth/artifacts/258864
UR 1276,1867,Sumu-El,28,6, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,U -,-,UM 52-30-249,T22735,P415638,UM 52-30-249,UET 5 768,UET 5 768,https://www.archibab.fr/texte/22735,https://cdli.earth/artifacts/415638
NIPPUR 8199,1867,Sumu-el,28,8,22,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,4N-T0080,-,NBC 11125,-,P301734,-,BiMes 11 no. 045,-,,https://cdli.earth/artifacts/301734
UR 1101,1867,-,-,-, -,Administrative (E-kishib-ba),ADDED TO 1!,Administrative,,,-,-,IM 057468,T12654,P415467,IM 57468,UET 5 593,UET 5 593,https://www.archibab.fr/texte/12654,https://cdli.earth/artifacts/415467
NIPPUR 4633,1866,Erra-Imitti,D,12,-,TA - House F?: Nanna-Mansum,Nippur (PBS 8),Legal - Sale (Land),,,-,-,CBS 07024,-,P262078,-,"PBS 08 /2, 103",-,,https://cdli.earth/artifacts/262078
NIPPUR 8200,1866,Erra-Imitti,D,6,14,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,4N-T0082,-,NBC 11126,-,P301735,-,BiMes 11 no. 062,-,,https://cdli.earth/artifacts/301735
NIPPUR 8361,1866,Erra-Imitti,D,9,-,TA - House F?: Nanna-Mansum,Nippur (Penn excavations),Legal - Inheritance,,,-,-,Ist Ni 00311,-,P313129,-,ARN 006,-,,https://cdli.earth/artifacts/313129
UR 684,1865,Nur-Adad,1,10, -,Paternoster Row: legal (land sale),"Ur's Neighborhood (AH), Paternoster Row",Legal - Sale (Land),,"house 4a, 8-10",-,-,IM 057261,T12144,P415066,IM 57261,UET 5 173,UET 5 173,https://www.archibab.fr/texte/12144,https://cdli.earth/artifacts/415066
UR 1042,1865,Nur-Adad,1,2, -,Ganunmah (silver),Ur's Ganunmah (TTB),Administrative - silver records,Room 5,Underneath pavement,U 08811f,-,IM 057446,T12596,P415408,IM 57446 = U.8811f,UET 5 533,UET 5 533,https://www.archibab.fr/texte/12596,https://cdli.earth/artifacts/415408
UR 647,1865,Nur-Adad,1,4, -,Paternoster Row: legal (house sale),"Ur's Neighborhood (AH), Paternoster Row",Legal - Sale (House),,"house 4a, 8-10",U 16826r,-,IM 057243,T12987,P415032,IM 57243 = U.16826R ,UET 5 136,UET 5 136,https://www.archibab.fr/texte/12987,https://cdli.earth/artifacts/415032
NIPPUR 124,1864,Sumu-abum,1,1,2,TA - House K?: Ninlil-Zimu (Abba-Kalla),Nippur's Inana Temple,Administrative - Eshtagurra,IT 2,Floor 1a,4N-T0230,-,OIM A33639,T22869,P512090,A 33639 = 4NT-230,NABU 2018 /044,Farber & Wilent NABU 2018/44,https://www.archibab.fr/texte/22869,https://cdli.earth/artifacts/512090
UR 1277,1864,Nur-Adad,A,1,10,Giparu (expenditures),Ur (unprov),Administrative - Delivery,,,U -,-,UM 52-30-250,T12818,P415639,UM 52-30-250,UET 5 769,UET 5 769,https://www.archibab.fr/texte/12818,https://cdli.earth/artifacts/415639
UR 70,1863,Nur-Adad,B,10, -,"""Isolated Texts""",Ur's Extra-mural (EM)?,Legal - Proceedings,,,-,B 034,BM 033191,T22138,P498160,BM 33191 = B.34 // BM 33191-a = B.34-a,TS 001,HEO 12 1,https://www.archibab.fr/texte/22138,https://cdli.earth/artifacts/498160
NIPPUR 11120,1862,Enlil-bani,1,-,-,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0311,-,IM -,-,P500717,-,BiMes 11 no. 065,-,,https://cdli.earth/artifacts/500717
NIPPUR 245,1862,Enlil-bani,1,10, -,TA - House F?: Nanna-Mansum,Nippur (Hilprecht),Legal - Sale (Land),,,-,-,HS 2108,T23397,P503167,HS 2108,TMH 10 35,TMH 10 35,https://www.archibab.fr/texte/23397,https://cdli.earth/artifacts/503167
NIPPUR 246,1862,Enlil-bani,1,11, -,TA - House F?: Nanna-Mansum,Nippur (Hilprecht),Legal - Sale (Land),,,-,-,HS 2104,T23401,P503168,HS 2104,TMH 10 36,TMH 10 36,https://www.archibab.fr/texte/23401,https://cdli.earth/artifacts/503168
NIPPUR 247,1862,Enlil-bani,1,12, -,TB - House C?: Lu-Ursaggal,Nippur (Hilprecht),Legal - Sale (Land),,,-,-,HS 2398 & HS 2412,T23412,P503169,HS 2398 // HS 2412,TMH 10 37,TMH 10 37,https://www.archibab.fr/texte/23412,https://cdli.earth/artifacts/503169
NIPPUR 11119,1862,Enlil-bani,1,12,16,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0170,-,OIM A30634,-,P500716,-,BiMes 11 no. 064,-,,https://cdli.earth/artifacts/500716
NIPPUR 4639,1862,Enlil-bani,1,6,-,TA - House F?: Nanna-Mansum,Nippur (PBS 8),Legal - Sale (Land),,,-,-,CBS 07032,-,P262086,-,"PBS 08 /2, 106",-,,https://cdli.earth/artifacts/262086
NIPPUR 4574,1862,Enlil-bani,1,9,-,TA - House N 1?: Kiagga,Nippur (PBS 8),Legal - Exchange (Land),,,-,-,CBS 05133,-,P261325,-,"PBS 08 /1, 008",-,,https://cdli.earth/artifacts/261325
UR 878,1861,Nur-Adad,D,10, -,Legal (loan),Ur (unprov),Legal - Loan (qiptu),,,U 16580,-,IM 057352,T12375,P415249,IM 57352 = U.16580,UET 5 369,UET 5 369,https://www.archibab.fr/texte/12375,https://cdli.earth/artifacts/415249
NIPPUR 4025,1861,Enlil-bani,2,10,-,TA?,Nippur (Penn excavations),Legal - Sale (Land),,,-,-,UM 29-16-098 & N 1234,-,P256703,-,"OB Contracts, pl. A3 & A4 no. 3",-,,https://cdli.earth/artifacts/256703
NIPPUR 5647,1861,Enlil-bani,2,6,-,TA - House K?: Ninlil-Zimu (Abba-Kalla),Nippur (PBS 8),Legal - Land Exchange,S2,,-,-,CBS 11564,-,P266706,-,"PBS 08 /1, 009",-,,https://cdli.earth/artifacts/266706
NIPPUR 8363,1860,Enlil-bani,3,4,-,TB?,Nippur (Penn excavations),Legal - Inheritance,,,-,-,Ist Ni 01898,-,P313131,-,ARN 010,-,,https://cdli.earth/artifacts/313131
UR 615,1859,Nur-Adad,F,5, -,legal (inheritance),Ur (unprov),Legal - Inheritance,,,U 16806,-,IM 057227,T12128,P415007,IM 57227 = U.16806,UET 5 105,UET 5 105,https://www.archibab.fr/texte/12128,https://cdli.earth/artifacts/415007
NIPPUR 8201,1859,Enlil-bani,4,-,-,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,4N-T0226,-,NBC 11127,-,P301736,-,BiMes 11 no. 163,-,,https://cdli.earth/artifacts/301736
NIPPUR 8167,1858,Enlil-bani,5,12,-,TB?,Nippur (Penn excavations),Legal - Naditus,,,-,-,Ist Ni 09202,-,P283593,-,ARN 009,-,,https://cdli.earth/artifacts/283593
NIPPUR 201,1858,Enlil-bani,5,3, -,TA?,"Nippur (TIM 4, purchased by S. David)",Legal - Adoption,,,-,-,IM 010891,T25341,P223276,IM 10891,TIM 04 13,TIM 4 13,https://www.archibab.fr/texte/25341,https://cdli.earth/artifacts/223276
NIPPUR 503,1858,Enlil-bani,5,3,-,TA?,Nippur (TIM 4),Legal - Care (Elder),,,-,-,IM 010907,-,P223290,-,TIM 04 27,-,,https://cdli.earth/artifacts/223290
NIPPUR 233,1858,Enlil-bani,5,6, -,TB - House C?: Lu-Ursaggal?,Nippur (Hilprecht),Legal - Bequest,,,-,-,HS 2101,T23361,P503170,HS 2101,TMH 10 23,TMH 10 23,https://www.archibab.fr/texte/23361,https://cdli.earth/artifacts/503170
NIPPUR 4638,1857,Enlil-bani,6,-,-,TA - House F?: Ilshu-muballit,Nippur (PBS 8),Legal - Sale (Land),,,-,-,CBS 07031,-,P262085,-,"PBS 08 /2, 167",-,,https://cdli.earth/artifacts/262085
NIPPUR 8355,1857,Enlil-bani,6,6,-,TA - House K?: Ninlil-Zimu (Abba-Kalla),Nippur (Post-Penn),Legal - Inheritance,,,-,-,YBC 11974,-,P311943,-,YOS 14 321,-,,https://cdli.earth/artifacts/311943
NIPPUR 8171,1856,Enlil-bani,7,4,-,TB - House C?: Nin-me-dugga,Nippur (Penn excavations),Legal - Manumission,,,-,-,Ist Ni 00353,-,P283597,-,ARN 007,-,,https://cdli.earth/artifacts/283597
NIPPUR 156,1855,Sumu-la-El,-,4, -,"z - Legal (Real Estate, Land sale)",Nippur (Sumu-Yamutbal),Legal - Sale (Land),,,-,-,Ashm 1926-0394,T25317,P385009,W.1926/394,OECT 08 3,OECT 8 3,https://www.archibab.fr/texte/25317,https://cdli.earth/artifacts/385009
NIPPUR 196,1855,Enlil-bani,8,-, -,TB - House C,Nippur's Scribal Quarter (TB),Legal - Adoption,2,D,2N-T0167,-,IM 065519,T25340,P224363,IM 65519 = 2NT-167,SAOC 44 62,SAOC 44 62,https://www.archibab.fr/texte/25340,https://cdli.earth/artifacts/224363
NIPPUR 10711,1854,Enlil-bani,9,6,-,TA - House F?: Ilshu-muballit,Nippur (1899),Legal - Sale (Land),,,-,-,SM 1899.02.043,-,P405835,-,JAOS 036 035-036,-,,https://cdli.earth/artifacts/405835
NIPPUR 129,1853,Enlil-bani,10,-, -,TA - House F?: Ilshu-muballit,Nippur (1899),Legal - Proceedings,,,-,01384 (SM catalogue: 0328),SM 1899.02.006,T23051,P405826,HSM 1384,WO 08 160-161,"HSM 1384 (Edzard WO 8, p. 160-161)",https://www.archibab.fr/texte/23051,https://cdli.earth/artifacts/405826
NIPPUR 8310,1853,Enlil-bani,10,-,-,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0280,-,NBC 11249,-,P301854,-,BiMes 11 no. 066,-,,https://cdli.earth/artifacts/301854
NIPPUR 11122,1853,Enlil-bani,10,9,16,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0283,-,IM -,-,P500723,-,BiMes 11 no. 067,-,,https://cdli.earth/artifacts/500723
NIPPUR 8246,1852,Enlil-bani,11,-,-,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,4N-T0114,-,NBC 11172,-,P301781,-,BiMes 11 no. 121,-,,https://cdli.earth/artifacts/301781
NIPPUR 177,1852,Enlil-bani,11,11, -,TB - House C?: Sag-Enlil?,Nippur (PBS 8),Legal - Adoption,,,-,-,CBS 07195,T24777,P262227,CBS 7195,"PBS 08 /2, 107",PBS 8/2 107,https://www.archibab.fr/texte/24777,https://cdli.earth/artifacts/262227
NIPPUR 11124,1852,Enlil-bani,11,12,04,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0095,-,OIM A30615,-,P500725,-,BiMes 11 no. 095,-,,https://cdli.earth/artifacts/500725
NIPPUR 11123,1852,Enlil-bani,11,2,29,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0097,-,OIM A30616,-,P500724,-,BiMes 11 no. 096,-,,https://cdli.earth/artifacts/500724
