TextID_D,Date_D,Ruler,Year,Month,Day,Dossier_D,Archive_D,Genre_D,Locus_D,Stratum_D,ExcNum_C,MusAcc_C,Mus_C,TNum,Pnum,TextID_A,TextID_C,TextNum_A,ARCHIBAB Link,CDLI Link
UR 114,1919,Gungunum,14,5, -,Ganunmah (E-Kishib),Ur's Ganunmah (TTB),Administrative - Allotment,Room 34,Below KM Wall,U 02690,-,Penn -,T2535,P466553,U.2690,JCS 28 241 09,Loding JCS 28 9,https://www.archibab.fr/texte/2535,https://cdli.earth/artifacts/466553
UR 16,1919,Gungunum,14,6, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,-,-,-,T24973,N/A,U.2687,-,Inedit,https://www.archibab.fr/texte/24973,
UR 17,1919,Gungunum,14,7, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,-,-,-,T24974,N/A,U.2688,-,Inedit,https://www.archibab.fr/texte/24974,
UR 28,1919,Gungunum,14,7, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - expenditure,Room 34,Below KM Wall,U 02601,-,Penn -,T24985,P466542,U.2601,-,Inedit,https://www.archibab.fr/texte/24985,https://cdli.earth/artifacts/466542
NIPPUR 219,1918,Ur-Ninurta,G,3,10,TB - House C?: Sag-Enlil,Nippur (Hilprecht),Legal - Inheritance,,,-,-,HS 2084,T23267,P503166,HS 2084,TMH 10 12,TMH 10 12,https://www.archibab.fr/texte/23267,https://cdli.earth/artifacts/503166
UR 19,1918,Gungunum,15,1, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,U 02584,-,-,T24976,P467985,U.2584,UET 1 230,Inedit,https://www.archibab.fr/texte/24976,https://cdli.earth/artifacts/467985
UR 11,1918,Gungunum,15,2,30,"Ganunmah (deliveries, dairy)",Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,U 02593,-,Penn -,T24967,P466541,U.2593,-,Inedit,https://www.archibab.fr/texte/24967,https://cdli.earth/artifacts/466541
UR 3291,1917,Gungunum,16,1,1,Administrative (wool),Ur (unprov),Administrative,,,-,"1919-10-11, 0150",BM 114060,-,P469343,-,-,-,,https://cdli.earth/artifacts/469343
NIPPUR 3814,1916,Ur-Ninurta,I,7,-,TB - House B?: Warad-Enlil,Nippur (Penn excavations),Legal - Inheritance,,,-,-,UM 29-15-383,-,P256191,-,"OB Contracts, pl. A1 no. 1",-,,https://cdli.earth/artifacts/256191
UR 1241,1914,Gungunum,19,12-bis, -,Mausoleum: Nanna's silo,Ur's Mausoleum (BC),Administrative - Donation,,Underneath pavement,U 17246q,-,IM 057538,T12790,P415603,IM 57538 = U.17246Q,UET 5 733,UET 5 733,https://www.archibab.fr/texte/12790,https://cdli.earth/artifacts/415603
UR 773,1911,Gungunum,22,2, -,Church Lane 13: Ilum-nasir,Ur (unprov),Legal - Proceedings,,,U -,"1953-04-11, 0114",BM 131279,T13069,P415149,"BM 131279 = 1953-04-11, 114",UET 5 264,UET 5 264,https://www.archibab.fr/texte/13069,https://cdli.earth/artifacts/415149
UR 1171,1910,-,-,-, -,Administrative (baskets),ADDED TO 1!,Administrative,,,U 15675,-,UM 52-30-224,T12721,P415535,UM 52-30-224 = U.15675,UET 5 663,UET 5 663,https://www.archibab.fr/texte/12721,https://cdli.earth/artifacts/415535
NIPPUR 6089,1909,Ur-Ninurta,P,3,-,TB - House B?: Nin-me-dugga?,Nippur (Post-Penn),Administrative - Donation,,,-,-,N 0406,-,P275618,-,-,-,,https://cdli.earth/artifacts/275618
UR 116,1909,Gungunum,24,10, -,Giparu (silver),Ur (unprov),Administrative - Pay List,,,U 07151,-,Penn -,T2541,P466600,U.7151,JCS 28 242 11,Loding JCS 28 11,https://www.archibab.fr/texte/2541,https://cdli.earth/artifacts/466600
UR 611,1909,Gungunum,24,11, -,Aha-nirshi ,Ur (unprov),"Legal - Inheritance, Land",,,-,-,IM 057223,T12124,P415003,IM 57223,UET 5 101,UET 5 101,https://www.archibab.fr/texte/12124,https://cdli.earth/artifacts/415003
UR 1055,1908,Gungunum,25,12, -,Giparu (Ningal Tithe),Ur (unprov),Administrative - Dilmun tax,,,U 00481,-,IM 057453,T12608,P415421,IM 57453 = U.481,UET 5 546,UET 5 546,https://www.archibab.fr/texte/12608,https://cdli.earth/artifacts/415421
UR 1242,1908,Gungunum,25,4, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,U 06383,-,IM 057539,T12791,P415604,IM 57539 = U.6383,UET 5 734,UET 5 734,https://www.archibab.fr/texte/12791,https://cdli.earth/artifacts/415604
UR 793,1908,Gungunum,25,7, -,Giparu (arua),Ur (unprov),Administrative - arua,,,-,-,IM 057315,T13085,P415168,IM 57315,UET 5 284,UET 5 284,https://www.archibab.fr/texte/13085,https://cdli.earth/artifacts/415168
UR 1126,1907,Gungunum,26,11, -,Giparu (abku),Ur (unprov),Administrative - Delivery,,,-,-,IM 057481,T12677,P415490,IM 57481,UET 5 618,UET 5 618,https://www.archibab.fr/texte/12677,https://cdli.earth/artifacts/415490
UR 1110,1907,Gungunum,26,8, -,"Ganunmah (delivery, dairy)",Ur (unprov),Administrative - Delivery,,,-,-,IM 057473,T12663,P415476,IM 57473,UET 5 602,UET 5 602,https://www.archibab.fr/texte/12663,https://cdli.earth/artifacts/415476
